court_name,city,province,high_court,url_slug,sipp_url,http_status,connectivity,access_category,notes
Pengadilan Negeri Banda Aceh,Banda Aceh,Aceh,PT Banda Aceh,bandaaceh,https://sipp.pn-bandaaceh.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Lhokseumawe,Lhokseumawe,Aceh,PT Banda Aceh,lhokseumawe,https://sipp.pn-lhokseumawe.go.id,403,FORBIDDEN,ACTIVE_RESTRICTED,
Pengadilan Negeri Bireuen,Bireuen,Aceh,PT Banda Aceh,bireuen,https://sipp.pn-bireuen.go.id,500,SERVER_ERROR,SERVER_ERROR,
Pengadilan Negeri Langsa,Langsa,Aceh,PT Banda Aceh,langsa,https://sipp.pn-langsa.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Sigli,Sigli,Aceh,PT Banda Aceh,sigli,https://sipp.pn-sigli.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Sabang,Sabang,Aceh,PT Banda Aceh,sabang,https://sipp.pn-sabang.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Calang,Calang,Aceh,PT Banda Aceh,calang,https://sipp.pn-calang.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Meulaboh,Meulaboh,Aceh,PT Banda Aceh,meulaboh,https://sipp.pn-meulaboh.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Sinabang,Sinabang,Aceh,PT Banda Aceh,sinabang,https://sipp.pn-sinabang.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Tapaktuan,Tapaktuan,Aceh,PT Banda Aceh,tapaktuan,https://sipp.pn-tapaktuan.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Singkil,Singkil,Aceh,PT Banda Aceh,singkil,https://sipp.pn-singkil.go.id,0,TIMEOUT,INACCESSIBLE,
Pengadilan Negeri Lhoksukon,Lhoksukon,Aceh,PT Banda Aceh,lhoksukon,https://sipp.pn-lhoksukon.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Idi,Idi,Aceh,PT Banda Aceh,idi,https://sipp.pn-idi.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Kuala Simpang,Karang Baru,Aceh,PT Banda Aceh,kualasimpang,https://sipp.pn-kualasimpang.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Takengon,Takengon,Aceh,PT Banda Aceh,takengon,https://sipp.pn-takengon.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Kutacane,Kutacane,Aceh,PT Banda Aceh,kutacane,https://sipp.pn-kutacane.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Blangkejeren,Blangkejeren,Aceh,PT Banda Aceh,blangkejeren,https://sipp.pn-blangkejeren.go.id,500,SERVER_ERROR,SERVER_ERROR,
Pengadilan Negeri Jantho,Jantho,Aceh,PT Banda Aceh,jantho,https://sipp.pn-jantho.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Medan,Medan,Sumatera Utara,PT Medan,medan,https://sipp.pn-medan.go.id,0,CONNECTION_REFUSED,INACCESSIBLE,Cannot connect to host sipp.pn-medan.go.id:443 ssl:False [Name or service not known]
Pengadilan Negeri Pematangsiantar,Pematangsiantar,Sumatera Utara,PT Medan,pematangsiantar,https://sipp.pn-pematangsiantar.go.id,0,CONNECTION_REFUSED,INACCESSIBLE,Cannot connect to host sipp.pn-pematangsiantar.go.id:443 ssl:False [Name or service not known]
Pengadilan Negeri Binjai,Binjai,Sumatera Utara,PT Medan,binjai,https://sipp.pn-binjai.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Lubuk Pakam,Lubuk Pakam,Sumatera Utara,PT Medan,lubukpakam,https://sipp.pn-lubukpakam.go.id,200,REDIRECT_NONSTANDARD,NON_STANDARD_DOMAIN,Redirected to: https://www.sipp.pn-lubukpakam.go.id/
Pengadilan Negeri Padangsidimpuan,Padangsidimpuan,Sumatera Utara,PT Medan,padangsidimpuan,https://sipp.pn-padangsidimpuan.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Tarutung,Tarutung,Sumatera Utara,PT Medan,tarutung,https://sipp.pn-tarutung.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Kabanjahe,Kabanjahe,Sumatera Utara,PT Medan,kabanjahe,https://sipp.pn-kabanjahe.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Tanjung Balai Asahan,Tanjung Balai,Sumatera Utara,PT Medan,tanjungbalai,https://sipp.pn-tanjungbalai.go.id,403,FORBIDDEN,ACTIVE_RESTRICTED,
Pengadilan Negeri Sibolga,Sibolga,Sumatera Utara,PT Medan,sibolga,https://sipp.pn-sibolga.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Tebing Tinggi,Tebing Tinggi,Sumatera Utara,PT Medan,tebingtinggi,https://sipp.pn-tebingtinggi.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Kisaran,Kisaran,Sumatera Utara,PT Medan,kisaran,https://sipp.pn-kisaran.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Gunungsitoli,Gunungsitoli,Sumatera Utara,PT Medan,gunungsitoli,https://sipp.pn-gunungsitoli.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Rantau Prapat,Rantau Prapat,Sumatera Utara,PT Medan,rantauprapat,https://sipp.pn-rantauprapat.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Sidikalang,Sidikalang,Sumatera Utara,PT Medan,sidikalang,https://sipp.pn-sidikalang.go.id,404,NOT_FOUND,INACCESSIBLE,
Pengadilan Negeri Stabat,Stabat,Sumatera Utara,PT Medan,stabat,https://sipp.pn-stabat.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Simalungun,Simalungun,Sumatera Utara,PT Medan,simalungun,https://sipp.pn-simalungun.go.id,403,FORBIDDEN,ACTIVE_RESTRICTED,
Pengadilan Negeri Mandailing Natal,Penyabungan,Sumatera Utara,PT Medan,mandailingnatal,https://sipp.pn-mandailingnatal.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Balige,Balige,Sumatera Utara,PT Medan,balige,https://sipp.pn-balige.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Padang,Padang,Sumatera Barat,PT Padang,padang,https://sipp.pn-padang.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Bukittinggi,Bukittinggi,Sumatera Barat,PT Padang,bukittinggi,https://sipp.pn-bukittinggi.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Sawahlunto,Sawahlunto,Sumatera Barat,PT Padang,sawahlunto,https://sipp.pn-sawahlunto.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Payakumbuh,Payakumbuh,Sumatera Barat,PT Padang,payakumbuh,https://sipp.pn-payakumbuh.go.id,403,FORBIDDEN,ACTIVE_RESTRICTED,
Pengadilan Negeri Lubuk Sikaping,Lubuk Sikaping,Sumatera Barat,PT Padang,lubuksikaping,https://sipp.pn-lubuksikaping.go.id,0,CONNECTION_REFUSED,INACCESSIBLE,Cannot connect to host sipp.pn-lubuksikaping.go.id:443 ssl:False [No address associated with hostnam
Pengadilan Negeri Batusangkar,Batusangkar,Sumatera Barat,PT Padang,batusangkar,https://sipp.pn-batusangkar.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Solok,Kota Solok,Sumatera Barat,PT Padang,solok,https://sipp.pn-solok.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Pariaman,Pariaman,Sumatera Barat,PT Padang,pariaman,https://sipp.pn-pariaman.go.id,403,FORBIDDEN,ACTIVE_RESTRICTED,
Pengadilan Negeri Painan,Painan,Sumatera Barat,PT Padang,painan,https://sipp.pn-painan.go.id,403,FORBIDDEN,ACTIVE_RESTRICTED,
Pengadilan Negeri Padang Panjang,Padang Panjang,Sumatera Barat,PT Padang,padangpanjang,https://sipp.pn-padangpanjang.go.id,403,FORBIDDEN,ACTIVE_RESTRICTED,
Pengadilan Negeri Lubuk Basung,Lubuk Basung,Sumatera Barat,PT Padang,lubukbasung,https://sipp.pn-lubukbasung.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Tanjung Pati,Kab. 50 Kota,Sumatera Barat,PT Padang,tanjungpati,https://sipp.pn-tanjungpati.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Kotobaru,Kab. Solok,Sumatera Barat,PT Padang,kotobaru,https://sipp.pn-kotobaru.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Muaro,Muaro Sijunjung,Sumatera Barat,PT Padang,muaro,https://sipp.pn-muaro.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Pasaman Barat,Simpang Empat,Sumatera Barat,PT Padang,pasamanbarat,https://sipp.pn-pasamanbarat.go.id,0,CONNECTION_REFUSED,INACCESSIBLE,Cannot connect to host sipp.pn-pasamanbarat.go.id:443 ssl:False [Connection reset by peer]
Pengadilan Negeri Pekanbaru,Pekanbaru,Riau,PT Pekanbaru,pekanbaru,https://sipp.pn-pekanbaru.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Bengkalis,Bengkalis,Riau,PT Pekanbaru,bengkalis,https://sipp.pn-bengkalis.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Rengat,Rengat,Riau,PT Pekanbaru,rengat,https://sipp.pn-rengat.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Tembilahan,Tembilahan,Riau,PT Pekanbaru,tembilahan,https://sipp.pn-tembilahan.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Dumai,Dumai,Riau,PT Pekanbaru,dumai,https://sipp.pn-dumai.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Bangkinang,Bangkinang,Riau,PT Pekanbaru,bangkinang,https://sipp.pn-bangkinang.go.id,403,FORBIDDEN,ACTIVE_RESTRICTED,
Pengadilan Negeri Pasir Pengaraian,Pasir Pengaraian,Riau,PT Pekanbaru,pasirpengaraian,https://sipp.pn-pasirpengaraian.go.id,403,FORBIDDEN,ACTIVE_RESTRICTED,
Pengadilan Negeri Pelalawan,Pangkalan Kerinci,Riau,PT Pekanbaru,pelalawan,https://sipp.pn-pelalawan.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Rokan Hilir,Ujung Tanjung,Riau,PT Pekanbaru,rokanhilir,https://sipp.pn-rokanhilir.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Siak Sri Indrapura,Siak Sri Indrapura,Riau,PT Pekanbaru,siak,https://sipp.pn-siak.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Tanjungpinang,Tanjungpinang,Kepulauan Riau,PT Pekanbaru,tanjungpinang,https://sipp.pn-tanjungpinang.go.id,0,CONNECTION_REFUSED,INACCESSIBLE,Cannot connect to host sipp.pn-tanjungpinang.go.id:443 ssl:False [Name or service not known]
Pengadilan Negeri Batam,Batam,Kepulauan Riau,PT Pekanbaru,batam,https://sipp.pn-batam.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Tanjung Balai Karimun,Tanjung Balai Karimun,Kepulauan Riau,PT Pekanbaru,tanjungbalaikarimun,https://sipp.pn-tanjungbalaikarimun.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Ranai,Ranai Natuna,Kepulauan Riau,PT Pekanbaru,ranai,https://sipp.pn-ranai.go.id,0,CONNECTION_REFUSED,INACCESSIBLE,Cannot connect to host sipp.pn-ranai.go.id:443 ssl:False [Name or service not known]
Pengadilan Negeri Jambi,Jambi,Jambi,PT Jambi,jambi,https://sipp.pn-jambi.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Muara Bungo,Muara Bungo,Jambi,PT Jambi,muarabungo,https://sipp.pn-muarabungo.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Kuala Tungkal,Kuala Tungkal,Jambi,PT Jambi,kualatungkal,https://sipp.pn-kualatungkal.go.id,200,ACCESSIBLE,ACTIVE,
Pengadilan Negeri Sungai Penuh,Sungai Penuh,Jambi,PT Jambi,sungaipenuh,https://sipp.pn-sungaipenuh.go.id,200,ACCESSIBLE,ACTIVE,
